,Total Run Score,Total Discards Used,Total Cards Played,Best Hand Score,Hand played for Best Hand Score,Rounds Won,Rounds Played,Antes Won,Run Average Score,Average Discards,Flush Count,Four of a Kind Count,Full House Count,High Card Count,Pair Count,Straight Count,Straight Flush Count,Three of a Kind Count,Two Pair Count
0,1910.0,4.0,55.0,364,Full House,3,4,1,636.7,1.3,0.0,0.0,2.0,0.0,0.0,3.0,0.0,2.0,6.0
0,1784.0,7.0,50.0,372,Full House,3,4,1,594.7,2.3,1.0,0.0,3.0,0.0,0.0,2.0,0.0,0.0,5.0
0,1480.0,6.0,45.0,368,Full House,3,4,1,493.3,2.0,1.0,0.0,3.0,0.0,2.0,2.0,0.0,1.0,2.0
0,2109.0,3.0,41.0,1000,Straight Flush,3,4,1,703.0,1.0,1.0,0.0,1.0,0.0,2.0,0.0,1.0,2.0,4.0
0,2764.0,9.0,49.0,1208,Straight Flush,3,4,1,921.3,3.0,1.0,0.0,2.0,0.0,2.0,1.0,1.0,0.0,5.0
0,2604.0,7.0,78.0,372,Full House,4,5,1,651.0,1.8,2.0,0.0,2.0,0.0,0.0,3.0,0.0,1.0,10.0
0,0.0,0.0,6.0,189,Three of a Kind,0,1,0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,1.0,0.0
0,893.0,3.0,37.0,296,Flush,2,3,0,446.5,1.5,1.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,6.0
0,2476.0,7.0,65.0,324,Straight,4,5,1,619.0,1.8,2.0,0.0,1.0,2.0,0.0,4.0,0.0,0.0,7.0
0,0.0,0.0,9.0,116,Two Pair,0,1,0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,1.0
0,1496.0,4.0,44.0,700,Four of a Kind,2,3,0,748.0,2.0,0.0,1.0,2.0,0.0,1.0,0.0,0.0,0.0,7.0
0,1585.0,7.0,51.0,324,Straight,3,4,1,528.3,2.3,0.0,0.0,1.0,0.0,0.0,4.0,0.0,2.0,5.0
0,1754.0,6.0,40.0,700,Four of a Kind,3,4,1,584.7,2.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,2.0,5.0
0,2979.0,7.0,44.0,700,Four of a Kind,4,5,1,744.8,1.8,0.0,2.0,3.0,2.0,2.0,1.0,0.0,2.0,1.0
0,1560.0,7.0,44.0,372,Full House,3,4,1,520.0,2.3,1.0,0.0,2.0,1.0,1.0,2.0,0.0,0.0,4.0
0,1897.0,3.0,50.0,360,Full House,3,4,1,632.3,1.0,0.0,0.0,2.0,0.0,1.0,4.0,0.0,2.0,3.0
0,2716.0,7.0,83.0,324,Straight,4,5,1,679.0,1.8,1.0,0.0,1.0,0.0,0.0,5.0,0.0,0.0,12.0
0,308.0,0.0,25.0,220,Straight,1,2,0,308.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,5.0
0,981.0,2.0,30.0,372,Full House,2,3,0,490.5,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,2.0,3.0
0,380.0,1.0,26.0,180,Three of a Kind,1,2,0,380.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,5.0
0,2772.0,6.0,81.0,368,Full House,4,5,1,693.0,1.5,1.0,0.0,5.0,0.0,0.0,1.0,0.0,2.0,10.0
0,900.0,1.0,31.0,360,Full House,2,3,0,450.0,0.5,0.0,0.0,2.0,0.0,2.0,1.0,0.0,0.0,3.0
0,816.0,1.0,29.0,292,Flush,2,3,0,408.0,0.5,1.0,0.0,0.0,1.0,3.0,1.0,0.0,0.0,3.0
0,2092.0,6.0,48.0,700,Four of a Kind,3,4,1,697.3,2.0,0.0,1.0,2.0,0.0,1.0,1.0,0.0,1.0,6.0
0,300.0,0.0,18.0,300,Flush,1,2,0,300.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,2.0
0,608.0,2.0,33.0,316,Straight,1,2,0,608.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,7.0
0,1512.0,1.0,40.0,372,Full House,3,4,1,504.0,0.3,4.0,0.0,2.0,1.0,0.0,1.0,0.0,0.0,1.0
0,2512.0,5.0,72.0,372,Full House,4,5,1,628.0,1.2,1.0,0.0,2.0,0.0,0.0,3.0,0.0,2.0,9.0
0,1385.0,4.0,58.0,360,Full House,3,4,1,461.7,1.3,0.0,0.0,1.0,0.0,0.0,2.0,0.0,1.0,10.0
0,1028.0,4.0,43.0,316,Straight,2,3,0,514.0,2.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,7.0
0,1548.0,7.0,47.0,372,Full House,3,4,1,516.0,2.3,2.0,0.0,2.0,1.0,0.0,0.0,0.0,2.0,5.0
0,2460.0,10.0,52.0,728,Four of a Kind,4,5,1,615.0,2.5,0.0,1.0,4.0,1.0,2.0,3.0,0.0,0.0,2.0
0,1912.0,4.0,47.0,324,Straight,3,4,1,637.3,1.3,3.0,0.0,2.0,0.0,2.0,2.0,0.0,0.0,2.0
0,440.0,0.0,25.0,240,Straight,1,2,0,440.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,0.0,0.0,3.0
0,1536.0,3.0,46.0,312,Full House,3,4,1,512.0,1.0,3.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,5.0
0,2471.0,5.0,56.0,700,Four of a Kind,4,5,1,617.8,1.2,2.0,1.0,0.0,0.0,0.0,4.0,0.0,2.0,4.0
0,500.0,2.0,29.0,296,Straight,1,2,0,500.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,6.0
0,1460.0,7.0,54.0,340,Full House,3,4,1,486.7,2.3,0.0,0.0,1.0,0.0,0.0,2.0,0.0,1.0,9.0
0,1584.0,3.0,57.0,324,Straight,3,4,1,528.0,1.0,1.0,0.0,0.0,0.0,0.0,5.0,0.0,1.0,6.0
0,1849.0,4.0,48.0,360,Full House,3,4,1,616.3,1.3,1.0,0.0,4.0,0.0,0.0,1.0,0.0,2.0,3.0
0,1344.0,1.0,29.0,616,Four of a Kind,2,3,0,672.0,0.5,1.0,1.0,0.0,1.0,2.0,0.0,0.0,1.0,3.0
0,940.0,2.0,36.0,324,Straight,2,3,0,470.0,1.0,0.0,0.0,0.0,0.0,1.0,3.0,0.0,1.0,4.0
0,2844.0,6.0,70.0,368,Full House,4,5,1,711.0,1.5,4.0,0.0,4.0,1.0,1.0,0.0,0.0,1.0,6.0
0,0.0,0.0,9.0,124,Two Pair,0,1,0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,1.0
0,0.0,0.0,12.0,108,Two Pair,0,1,0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,2.0
0,1985.0,3.0,53.0,644,Four of a Kind,3,4,1,661.7,1.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,2.0,7.0
0,1824.0,6.0,55.0,372,Full House,3,4,1,608.0,2.0,0.0,0.0,3.0,0.0,0.0,2.0,0.0,2.0,6.0
0,1808.0,7.0,55.0,324,Straight,3,4,1,602.7,2.3,2.0,0.0,0.0,0.0,1.0,3.0,0.0,0.0,7.0
0,992.0,3.0,36.0,364,Full House,2,3,0,496.0,1.5,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,5.0
0,776.0,0.0,31.0,372,Full House,2,3,0,388.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,4.0
